"ts","live","ended","period","elapsed","score","best_bid","best_ask","last_trade","spread"
"1/23/2026, 2:03:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:03:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:03:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:03:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:03:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:03:02 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:02:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:16 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:01:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:31 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:16 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:00:04 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:59:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:58:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:31 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:57:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:20 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:15 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:56:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:50 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:45 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:31 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:21 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:16 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:55:04 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 1:54:54 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:54:49 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:54:31 AM","","","","","","0.997","0.998","0.997","0.001"
